"","osm_id","name","st_asgeojson"
"1",-2096258,"Palác Schutzovcov","{""type"":""Polygon"",""coordinates"":[[[17.1103288,48.1439325],[17.1104399,48.1438406],[17.1105564,48.1439073],[17.1105592,48.1439052],[17.1106254,48.1439256],[17.1105385,48.1440314],[17.1103288,48.1439325]],[[17.1104622,48.1439439],[17.1105147,48.1439654],[17.1105362,48.1439342],[17.1104959,48.1439168],[17.1104622,48.1439439]]]}"
"2",-1181119,"Kláštor Milosrdných bratov","{""type"":""Polygon"",""coordinates"":[[[17.1103954,48.1459178],[17.1106461,48.1457506],[17.1107124,48.1457087],[17.1107068,48.1457072],[17.1107144,48.145701],[17.1107195,48.1457014],[17.1107321,48.1456954],[17.1107284,48.1456918],[17.110738,48.1456845],[17.1107404,48.1456857],[17.1107619,48.1456714],[17.1107607,48.1456691],[17.1107692,48.1456628],[17.1107722,48.1456654],[17.1107837,48.145656],[17.1107807,48.1456534],[17.11079,48.1456485],[17.1107922,48.1456497],[17.1107959,48.1456478],[17.1108875,48.1456946],[17.1110928,48.1458001],[17.1112455,48.1458783],[17.111278,48.1458955],[17.1113822,48.1459508],[17.1112982,48.1460207],[17.1112403,48.1459909],[17.1110978,48.1459179],[17.111026,48.1459786],[17.1109146,48.1460739],[17.1107653,48.1462016],[17.1107451,48.1462183],[17.1107275,48.146234],[17.1107226,48.1462383],[17.1106424,48.1461989],[17.1105485,48.1461496],[17.1106417,48.146069],[17.1105684,48.1460301],[17.110583,48.1460164],[17.1103954,48.1459178]],[[17.11054,48.1459558],[17.1107309,48.1460547],[17.1109387,48.1458756],[17.1107837,48.145795],[17.11054,48.1459558]]]}"
"3",-189440,"Primaciálny palác","{""type"":""Polygon"",""coordinates"":[[[17.1093131,48.1438249],[17.109379,48.1437282],[17.1094415,48.1437479],[17.1094543,48.1437256],[17.1094759,48.1437316],[17.109513,48.1436821],[17.1095849,48.1437012],[17.1096349,48.1436291],[17.1096241,48.1436257],[17.109666,48.1435647],[17.1096764,48.1435686],[17.1097185,48.1435094],[17.1097051,48.1435072],[17.109745,48.1434509],[17.1098182,48.143475],[17.1097977,48.1435041],[17.1099446,48.1435552],[17.1101073,48.143609],[17.1100559,48.1437593],[17.1102891,48.1438408],[17.1102835,48.1438476],[17.1102188,48.1439373],[17.1101418,48.1439129],[17.1101036,48.1439568],[17.1100843,48.14398],[17.1099992,48.143959],[17.1099459,48.1440322],[17.1099413,48.1440325],[17.1099395,48.1440409],[17.1099246,48.1440354],[17.1099261,48.1440299],[17.1098958,48.1440212],[17.109893,48.144024],[17.1098775,48.144019],[17.1098779,48.144014],[17.1098498,48.1440053],[17.1098467,48.1440099],[17.1098304,48.1440045],[17.109833,48.1440004],[17.1098051,48.1439903],[17.1098008,48.1439945],[17.1097955,48.143992],[17.1097866,48.1439928],[17.1097813,48.1440012],[17.1097669,48.1439979],[17.1097662,48.1439933],[17.1097396,48.1439841],[17.1097355,48.1439872],[17.1097323,48.1439862],[17.1097214,48.1440019],[17.1096336,48.1439746],[17.1095629,48.1439508],[17.1095727,48.1439354],[17.1095696,48.1439346],[17.1095728,48.1439304],[17.109547,48.14392],[17.1095441,48.1439254],[17.1095264,48.1439194],[17.1095319,48.1439108],[17.1095178,48.1439055],[17.1095198,48.1439009],[17.1094908,48.1438917],[17.1094884,48.1438961],[17.109474,48.1438907],[17.1094748,48.1438866],[17.1094451,48.1438786],[17.1094423,48.1438826],[17.1094279,48.1438775],[17.1094287,48.1438735],[17.1094014,48.1438632],[17.1093959,48.1438672],[17.109384,48.1438634],[17.1093886,48.1438582],[17.1093835,48.143856],[17.1093887,48.1438492],[17.1093131,48.1438249]],[[17.1096379,48.143784],[17.1097509,48.1438207],[17.1098671,48.1438562],[17.1100022,48.1436726],[17.109885,48.1436352],[17.1097729,48.143599],[17.1096379,48.143784]]]}"
"4",-161665,"Palác Motešických","{""type"":""Polygon"",""coordinates"":[[[17.1099579,48.1431862],[17.1100353,48.1431055],[17.1102136,48.1429089],[17.1102372,48.142919],[17.1102729,48.1428858],[17.1102437,48.142872],[17.1103403,48.1427632],[17.1105684,48.1428543],[17.1107913,48.1429433],[17.1106776,48.1430596],[17.1106465,48.1430451],[17.1105906,48.1430987],[17.1106162,48.1431108],[17.1105392,48.1431854],[17.1105078,48.1431722],[17.1104424,48.143234],[17.1104708,48.143247],[17.1103631,48.1433471],[17.1103579,48.14335],[17.1101555,48.1432671],[17.1099579,48.1431862]],[[17.1101428,48.1431128],[17.1103678,48.1432053],[17.1105855,48.1430118],[17.1104615,48.1429613],[17.1103427,48.1429128],[17.1101428,48.1431128]]]}"
"5",88357772,"kaplnka sv. Jakuba","{""type"":""Polygon"",""coordinates"":[[[17.1120416,48.1446468],[17.112118,48.144614],[17.1122098,48.1446609],[17.1122108,48.1447042],[17.1121412,48.1447297],[17.1120502,48.1446867],[17.1120416,48.1446468]]]}"
"6",1026322450,"Slovenského národného povstania","{""type"":""Point"",""coordinates"":[17.1096403,48.1458808]}"
"7",1801170745,"Bývalý mestský špitál s kostolom sv. Ladislava","{""type"":""Point"",""coordinates"":[17.1131719,48.1454222]}"
"8",3819731125,"Aron Grünhut","{""type"":""Point"",""coordinates"":[17.112477,48.1468421]}"
"9",4358949953,"Ignác Cessay","{""type"":""Point"",""coordinates"":[17.1159861,48.1442957]}"
"10",4449879658,"Ľudovít Štúr","{""type"":""Point"",""coordinates"":[17.1137168,48.143167]}"
"11",5258289579,"sv. Ján Nepomucký","{""type"":""Point"",""coordinates"":[17.1098034,48.1434145]}"
"12",5902471670,"Dni Kyjeva","{""type"":""Point"",""coordinates"":[17.1132506,48.1447642]}"
